sgg_code10,sgis7_2019,yyyymm,sido_e9,sigungu_e9,sido_name,sigungu_name,sido_pop,sigungu_pop,sido_trade,sigungu_trade,present_e9,present_pop,present_trade
11320,1110000,200901,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,201001,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,201101,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,201201,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,201301,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,201401,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,201501,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,201601,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,201701,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,201801,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,201901,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,202001,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,202101,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,202201,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,202301,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,202401,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11320,1110000,202501,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,서울특별시,도봉구,1,1,1
11350,1111000,200901,서울특별시,노원구,서울특별시,노원구,서울특별시,노원구,서울특별시,노원구,1,1,1
11350,1111000,201001,서울특별시,노원구,서울특별시,노원구,서울특별시,노원구,서울특별시,노원구,1,1,1
11350,1111000,201101,서울특별시,노원구,서울특별시,노원구,서울특별시,노원구,서울특별시,노원구,1,1,1
11350,1111000,201201,서울특별시,노원구,서울특별시,노원구,서울특별시,노원구,서울특별시,노원구,1,1,1
11350,1111000,201301,서울특별시,노원구,서울특별시,노원구,서울특별시,노원구,서울특별시,노원구,1,1,1
11350,1111000,201401,서울특별시,노원구,서울특별시,노원구,서울특별시,노원구,서울특별시,노원구,1,1,1
11350,1111000,201501,서울특별시,노원구,서울특별시,노원구,서울특별시,노원구,서울특별시,노원구,1,1,1
