시도,시군구,E9_총계,연도,월
충청남도,천안시 동남구,992,2009,6
충청남도,천안시 서북구,2099,2009,6
충청남도,청양군,146,2009,6
충청남도,태안군,70,2009,6
충청남도,홍성군,294,2009,6
충청북도,괴산군,177,2009,6
충청북도,단양군,60,2009,6
충청북도,보은군,84,2009,6
충청북도,영동군,113,2009,6
충청북도,옥천군,260,2009,6
충청북도,음성군,2395,2009,6
충청북도,제천시,125,2009,6
충청북도,증평군,90,2009,6
충청북도,진천군,1566,2009,6
충청북도,청원군,1098,2009,6
충청북도,청주시 상당구,17,2009,6
충청북도,청주시 흥덕구,270,2009,6
충청북도,충주시,854,2009,6
강원도,강릉시,94,2009,12
강원도,고성군,31,2009,12
강원도,동해시,46,2009,12
강원도,삼척시,68,2009,12
강원도,속초시,40,2009,12
강원도,양구군,23,2009,12
강원도,양양군,66,2009,12
강원도,영월군,38,2009,12
강원도,원주시,416,2009,12
강원도,인제군,30,2009,12
강원도,정선군,22,2009,12
강원도,철원군,94,2009,12
강원도,춘천시,211,2009,12
강원도,태백시,98,2009,12
강원도,평창군,51,2009,12
강원도,홍천군,126,2009,12
강원도,화천군,23,2009,12
강원도,횡성군,136,2009,12
경기도,가평군,108,2009,12
경기도,고양시 덕양구,652,2009,12
경기도,고양시 일산동구,1218,2009,12
경기도,고양시 일산서구,529,2009,12
경기도,과천시,5,2009,12
경기도,광명시,200,2009,12
경기도,광주시,5231,2009,12
경기도,구리시,129,2009,12
경기도,군포시,944,2009,12
경기도,김포시,6967,2009,12
경기도,남양주시,2151,2009,12
경기도,동두천시,545,2009,12
경기도,부천시 소사구,153,2009,12
경기도,부천시 오정구,1322,2009,12
경기도,부천시 원미구,1353,2009,12
경기도,성남시 분당구,200,2009,12
경기도,성남시 수정구,166,2009,12
경기도,성남시 중원구,272,2009,12
경기도,수원시 권선구,283,2009,12
경기도,수원시 영통구,425,2009,12
경기도,수원시 장안구,84,2009,12
경기도,수원시 팔달구,176,2009,12
경기도,시흥시,6206,2009,12
경기도,안산시 단원구,6433,2009,12
경기도,안산시 상록구,474,2009,12
경기도,안성시,2463,2009,12
경기도,안양시 동안구,209,2009,12
경기도,안양시 만안구,288,2009,12
경기도,양주시,4428,2009,12
경기도,양평군,287,2009,12
경기도,여주군,1034,2009,12
경기도,연천군,317,2009,12
경기도,오산시,383,2009,12
경기도,용인시,59,2009,12
경기도,용인시 기흥구,514,2009,12
경기도,용인시 수지구,222,2009,12
경기도,용인시 처인구,2851,2009,12
경기도,의왕시,278,2009,12
경기도,의정부시,418,2009,12
경기도,이천시,1817,2009,12
경기도,파주시,4082,2009,12
경기도,평택시,3766,2009,12
경기도,포천군,1,2009,12
경기도,포천시,5913,2009,12
경기도,하남시,601,2009,12
경기도,화성시,10716,2009,12
경상남도,거제시,2878,2009,12
경상남도,거창군,48,2009,12
경상남도,고성군,853,2009,12
경상남도,김해시,7924,2009,12
경상남도,남해군,205,2009,12
경상남도,마산시,831,2009,12
경상남도,밀양시,266,2009,12
경상남도,사천시,652,2009,12
경상남도,산청군,64,2009,12
경상남도,양산시,1782,2009,12
경상남도,의령군,214,2009,12
경상남도,진주시,1030,2009,12
경상남도,진해시,1260,2009,12
경상남도,창녕군,400,2009,12
경상남도,창원시,2887,2009,12
경상남도,통영시,1129,2009,12
경상남도,하동군,42,2009,12
경상남도,함안군,1560,2009,12
경상남도,함양군,138,2009,12
경상남도,합천군,97,2009,12
경상북도,경산시,1279,2009,12
경상북도,경주시,2153,2009,12
경상북도,고령군,701,2009,12
경상북도,구미시,1941,2009,12
경상북도,군위군,221,2009,12
경상북도,김천시,555,2009,12
경상북도,문경시,88,2009,12
경상북도,봉화군,41,2009,12
경상북도,상주시,157,2009,12
경상북도,성주군,524,2009,12
경상북도,안동시,176,2009,12
경상북도,영덕군,89,2009,12
경상북도,영양군,4,2009,12
경상북도,영주시,39,2009,12
경상북도,영천시,865,2009,12
경상북도,예천군,88,2009,12
경상북도,울릉군,24,2009,12
경상북도,울진군,183,2009,12
경상북도,의성군,127,2009,12
경상북도,청도군,135,2009,12
경상북도,청송군,10,2009,12
경상북도,칠곡군,1430,2009,12
경상북도,포항시 남구,538,2009,12
경상북도,포항시 북구,181,2009,12
광주광역시,광산구,2359,2009,12
광주광역시,남구,8,2009,12
광주광역시,동구,7,2009,12
광주광역시,북구,232,2009,12
광주광역시,서구,51,2009,12
대구광역시,남구,3,2009,12
대구광역시,달서구,2133,2009,12
대구광역시,달성군,1193,2009,12
대구광역시,동구,63,2009,12
대구광역시,북구,590,2009,12
대구광역시,서구,450,2009,12
대구광역시,수성구,38,2009,12
대구광역시,중구,9,2009,12
대전광역시,대덕구,468,2009,12
대전광역시,동구,24,2009,12
대전광역시,서구,66,2009,12
대전광역시,유성구,120,2009,12
대전광역시,중구,40,2009,12
부산광역시,강서구,2496,2009,12
부산광역시,금정구,134,2009,12
부산광역시,기장군,479,2009,12
부산광역시,남구,42,2009,12
부산광역시,동구,20,2009,12
부산광역시,동래구,58,2009,12
부산광역시,부산진구,72,2009,12
부산광역시,북구,21,2009,12
부산광역시,사상구,882,2009,12
부산광역시,사하구,1419,2009,12
부산광역시,서구,41,2009,12
부산광역시,수영구,14,2009,12
부산광역시,연제구,24,2009,12
부산광역시,영도구,145,2009,12
부산광역시,중구,5,2009,12
부산광역시,해운대구,48,2009,12
서울특별시,강남구,375,2009,12
서울특별시,강동구,173,2009,12
서울특별시,강북구,144,2009,12
서울특별시,강서구,183,2009,12
서울특별시,관악구,212,2009,12
서울특별시,광진구,258,2009,12
서울특별시,구로구,515,2009,12
서울특별시,금천구,830,2009,12
서울특별시,노원구,82,2009,12
서울특별시,도봉구,221,2009,12
서울특별시,동대문구,335,2009,12
서울특별시,동작구,145,2009,12
서울특별시,마포구,288,2009,12
서울특별시,서대문구,107,2009,12
서울특별시,서초구,376,2009,12
서울특별시,성동구,808,2009,12
서울특별시,성북구,306,2009,12
서울특별시,송파구,276,2009,12
서울특별시,양천구,130,2009,12
서울특별시,영등포구,539,2009,12
서울특별시,용산구,219,2009,12
서울특별시,은평구,130,2009,12
서울특별시,종로구,186,2009,12
서울특별시,중구,362,2009,12
서울특별시,중랑구,201,2009,12
울산광역시,남구,369,2009,12
울산광역시,동구,604,2009,12
울산광역시,북구,748,2009,12
울산광역시,울주군,1935,2009,12
울산광역시,중구,41,2009,12
인천광역시,강화군,127,2009,12
인천광역시,계양구,430,2009,12
인천광역시,남구,678,2009,12
인천광역시,남동구,5645,2009,12
인천광역시,동구,285,2009,12
인천광역시,부평구,1015,2009,12
인천광역시,서구,5235,2009,12
인천광역시,연수구,308,2009,12
인천광역시,옹진군,30,2009,12
인천광역시,중구,205,2009,12
전라남도,강진군,45,2009,12
전라남도,고흥군,70,2009,12
전라남도,곡성군,119,2009,12
전라남도,광양시,225,2009,12
전라남도,구례군,15,2009,12
전라남도,나주시,379,2009,12
전라남도,담양군,204,2009,12
전라남도,목포시,197,2009,12
전라남도,무안군,234,2009,12
전라남도,보성군,199,2009,12
전라남도,순천시,229,2009,12
전라남도,신안군,101,2009,12
전라남도,여수시,386,2009,12
전라남도,영광군,64,2009,12
전라남도,영암군,1950,2009,12
전라남도,완도군,39,2009,12
전라남도,장성군,440,2009,12
전라남도,장흥군,72,2009,12
전라남도,진도군,20,2009,12
전라남도,함평군,153,2009,12
전라남도,해남군,158,2009,12
전라남도,화순군,191,2009,12
전라북도,고창군,102,2009,12
전라북도,군산시,713,2009,12
전라북도,김제시,504,2009,12
전라북도,남원시,185,2009,12
전라북도,무주군,4,2009,12
전라북도,부안군,81,2009,12
전라북도,순창군,20,2009,12
전라북도,완주군,400,2009,12
전라북도,익산시,788,2009,12
전라북도,임실군,158,2009,12
전라북도,장수군,72,2009,12
전라북도,전주시 덕진구,147,2009,12
전라북도,전주시 완산구,54,2009,12
전라북도,정읍시,434,2009,12
전라북도,진안군,18,2009,12
제주특별자치도,서귀포시,375,2009,12
제주특별자치도,제주시,482,2009,12
충청남도,계룡시,13,2009,12
충청남도,공주시,246,2009,12
충청남도,금산군,288,2009,12
충청남도,논산시,684,2009,12
충청남도,당진군,1282,2009,12
충청남도,보령시,503,2009,12
충청남도,부여군,192,2009,12
충청남도,서산시,483,2009,12
충청남도,서천군,249,2009,12
충청남도,아산시,2865,2009,12
충청남도,연기군,663,2009,12
충청남도,예산군,517,2009,12
충청남도,천안시,0,2009,12
충청남도,천안시 동남구,1039,2009,12
충청남도,천안시 서북구,2240,2009,12
충청남도,청양군,137,2009,12
충청남도,태안군,85,2009,12
충청남도,홍성군,305,2009,12
충청북도,괴산군,210,2009,12
충청북도,단양군,65,2009,12
충청북도,보은군,81,2009,12
충청북도,영동군,122,2009,12
충청북도,옥천군,249,2009,12
충청북도,음성군,2506,2009,12
충청북도,제천시,129,2009,12
충청북도,증평군,82,2009,12
충청북도,진천군,1712,2009,12
충청북도,청원군,1139,2009,12
충청북도,청주시 상당구,16,2009,12
충청북도,청주시 흥덕구,240,2009,12
충청북도,충주시,837,2009,12
강원도,강릉시,105,2010,6
강원도,고성군,39,2010,6
강원도,동해시,66,2010,6
강원도,삼척시,95,2010,6
강원도,속초시,83,2010,6
강원도,양구군,28,2010,6
강원도,양양군,119,2010,6
강원도,영월군,29,2010,6
강원도,원주시,514,2010,6
